year,quarter,district,income_avg,expand_avg
2019,2,1000856,3439859,7920352861
2019,2,1000855,5196870,6334377247
2019,2,1000854,4761526,9590266689
2019,2,1000853,4158063,11423538160
2019,2,1000852,3813985,6930404935
2019,2,1000851,3400860,8597027035
2019,2,1000850,5233009,5030757740
2019,2,1000849,5285981,6437682010
2019,2,1000848,4897081,6352002701
2019,2,1000847,6630464,8440173478
2019,2,1000846,3450352,5998992280
2019,2,1000845,3959253,6708120225
2019,2,1000844,4056642,3415873012
2019,2,1000843,2702992,9301945827
2019,2,1000842,2468538,5834616162
2019,2,1000841,2445803,5135963332
2019,2,1000840,2783384,6281743462
2019,2,1000839,2389383,11953691545
2019,2,1000838,2393849,10652595099
2019,2,1000837,3116763,12401292270
2019,2,1000836,2781364,9118227933
2019,2,1000835,3820737,12078980967
2019,2,1000834,2919971,10323640938
2019,2,1000833,2812063,8780650665
2019,2,1000832,2841907,13326247708
2019,2,1000831,2931525,11320848045
2019,2,1000830,2664443,7459350572
2019,2,1000829,2760111,11206868282
2019,2,1000828,2966655,8166029597
2019,2,1000827,2958345,9546895844
2019,2,1000826,2976660,11204214519
2019,2,1000825,3331883,9910773742
2019,2,1000824,2835195,10306297741
2019,2,1000823,2604371,9000055514
2019,2,1000822,2623088,6280001216
2019,2,1000821,2619779,9329643020
2019,2,1000820,2600848,10450573960
2019,2,1000819,2495950,8141032435
2019,2,1000818,2415834,8831521108
2019,2,1000817,2696184,11974671717
2019,2,1000816,2798120,10139760793
2019,2,1000815,2608827,12696281928
2019,2,1000814,3649925,6798910884
2019,2,1000813,2482238,10509954144
2019,2,1000812,3398023,11868580323
2019,2,1000811,2690202,12669567733
2019,2,1000810,2430195,12180267403
2019,2,1000809,2330716,9044807023
2019,2,1000808,2333278,9888084672
2019,2,1000807,2581592,8875829923
2019,2,1000806,2537316,9293028901
2019,2,1000805,2509605,7650317951
2019,2,1000804,2909951,10647002602
2019,2,1000803,3402598,7391329399
2019,2,1000802,3302058,7285967169
2019,2,1000801,3149154,10759837781
2019,2,1000800,2975549,9629182126
2019,2,1000799,2963015,6966515496
2019,2,1000798,2554335,9087426456
2019,2,1000797,2557173,9811770594
2019,2,1000796,2572562,8942004919
2019,2,1000795,2939483,8564694092
2019,2,1000794,3426050,4314401774
2019,2,1000793,2487022,10091030393
2019,2,1000792,2591828,6935177091
2019,2,1000791,2307234,8652562316
2019,2,1000790,2403728,7057196249
2019,2,1000789,2336204,5843459023
2019,2,1000788,2972915,10507437275
2019,2,1000787,3038197,10605789288
2019,2,1000786,3449720,9199615843
2019,2,1000785,2857369,11813020515
2019,2,1000784,2628231,11210938138
2019,2,1000783,3579531,9259805425
2019,2,1000782,2988994,7988183546
2019,2,1000781,3090628,8898859287
2019,2,1000780,3188928,7875268920
2019,2,1000779,3345207,3804619559
2019,2,1000778,3324868,3948642565
2019,2,1000777,2506047,6015056972
2019,2,1000776,2647179,7733619371
2019,2,1000775,3673536,9440689921
2019,2,1000774,4018970,6626205420
2019,2,1000773,2882607,8534495527
2019,2,1000772,3094079,10220852394
2019,2,1000771,2846165,6073807344
2019,2,1000770,2866271,7498569472
2019,2,1000769,2964255,7698457979
2019,2,1000768,3342537,8265385430
2019,2,1000767,2704961,10944661993
2019,2,1000766,2716774,8425621584
2019,2,1000765,3695975,3544659966
2019,2,1000764,3296330,2351316875
2019,2,1000763,4326235,3952998138
2019,2,1000762,4413172,6511574655
2019,2,1000761,4081360,13089954036
2019,2,1000760,3562527,7527375818
2019,2,1000759,3691487,9443075682
2019,2,1000758,3720715,9207707941
2019,2,1000757,2818620,10592812471
2019,2,1000756,3144632,9303108852
2019,2,1000755,3744634,5915536768
2019,2,1000754,3403767,5573258007
2019,2,1000753,3462003,6777613740
2019,2,1000752,2952489,8385881469
2019,2,1000751,3951096,7476458484
2019,2,1000750,4490196,9136066552
2019,2,1000749,2957241,10017596744
2019,2,1000748,2970331,11801811654
2019,2,1000747,3159043,8091992588
2019,2,1000746,3676644,10867496548
2019,2,1000745,4019428,6342238333
2019,2,1000744,3460348,6218543906
2019,2,1000743,3066525,9625907076
2019,2,1000742,4440119,8992692537
2019,2,1000741,4302966,9396175373
2019,2,1000740,4089551,7471056575
2019,2,1000739,3638458,8842407625
2019,2,1000738,2983519,8626130396
2019,2,1000737,3039369,9201492319
2019,2,1000736,2567539,7937424676
2019,2,1000735,2769259,13525863655
2019,2,1000734,2956514,9298010825
2019,2,1000733,2866384,11213510849
2019,2,1000732,2476960,7407013525
2019,2,1000731,2956554,6637828646
2019,2,1000730,3016038,6270034758
2019,2,1000729,3228159,6156920447
2019,2,1000728,3718389,7257941285
2019,2,1000727,3588797,8154688671
2019,2,1000726,3682788,7146373564
2019,2,1000725,3316035,4227960148
2019,2,1000724,3755076,9096656924
2019,2,1000723,3140848,3449245479
2019,2,1000722,2881472,4506581592
2019,2,1000721,3839849,3447437266
2019,2,1000720,3771722,4112748551
2019,2,1000719,3682693,6854903900
2019,2,1000718,2756415,6659369809
2019,2,1000717,3103384,6152079929
2019,2,1000716,2710580,7722137994
2019,2,1000715,2839295,6094676386
2019,2,1000714,2626584,6207578565
2019,2,1000713,3270032,5100379559
2019,2,1000712,3584795,5142521844
2019,2,1000711,3409170,5371863644
2019,2,1000710,3371343,5025663952
2019,2,1000709,3014119,7097492673
2019,2,1000708,2464546,7204130000
2019,2,1000707,2859371,8854463036
2019,2,1000706,2830955,6328152553
2019,2,1000705,2855774,5651171443
2019,2,1000704,3269144,8707333346
2019,2,1000703,3335574,8057005923
2019,2,1000702,3189992,8244012825
2019,2,1000701,2367727,5720866903
2019,2,1000700,3953434,4989862671
2019,2,1000699,3480913,9145320445
2019,2,1000698,3062356,8326689691
2019,2,1000697,3020240,4836762409
2019,2,1000696,2738268,6244431064
2019,2,1000695,2474448,6097330185
2019,2,1000694,2823490,7656562668
2019,2,1000693,2821427,8102558651
2019,2,1000692,2862920,7165256855
2019,2,1000691,4344560,6575558348
2019,2,1000690,4353807,8270969976
2019,2,1000689,4127715,7763743894
2019,2,1000688,3774953,4388592406
2019,2,1000687,3797325,6547813874
2019,2,1000686,4171681,3222609338
2019,2,1000685,3903452,3036243385
2019,2,1000684,4083961,4106630464
2019,2,1000683,2565230,5400282213
2019,2,1000682,2344675,9600141633
2019,2,1000681,2349299,10241988752
2019,2,1000680,2994234,11415260932
2019,2,1000679,3456204,4984480322
2019,2,1000678,2410882,8619956970
2019,2,1000677,2626418,4165486266
2019,2,1000676,2572840,4401023950
2019,2,1000675,2719316,8611729470
2019,2,1000674,2594280,10527101179
2019,2,1000673,2664542,9391911599
2019,2,1000672,2495713,6306018268
2019,2,1000671,2336005,6682557916
2019,2,1000670,2393882,4815384320
2019,2,1000669,2793370,5211130842
2019,2,1000668,2880344,6383750046
2019,2,1000667,2804353,10032258155
2019,2,1000666,2310798,6144217055
2019,2,1000665,2319010,8175634219
2019,2,1000664,2291051,8286554391
2019,2,1000663,2263480,7054540727
2019,2,1000662,2560170,5111612914
2019,2,1000661,2497650,7822582561
2019,2,1000660,2853238,10670922476
2019,2,1000659,2762127,8810469856
2019,2,1000658,2552434,6681909087
2019,2,1000657,3130788,1764501112
2019,2,1000656,2433881,5683508992
2019,2,1000655,2768961,8666221867
2019,2,1000654,2732660,6971736050
2019,2,1000653,3336077,5558647148
2019,2,1000652,3261321,5715266541
2019,2,1000651,2342965,6164852036
2019,2,1000650,2811278,7375623127
2019,2,1000649,4349155,5341149670
2019,2,1000648,3783094,7505833647
2019,2,1000647,3148978,3658185935
2019,2,1000646,2491494,4284825275
2019,2,1000645,2565118,5445003644
2019,2,1000644,2895303,7522899822
2019,2,1000643,2807433,8300969960
2019,2,1000642,2630745,7610307759
2019,2,1000641,2551007,9139642138
2019,2,1000640,2763901,11121214562
2019,2,1000639,3401491,6661932267
2019,2,1000638,2943801,9476371860
2019,2,1000637,3061137,9002104544
2019,2,1000636,4016844,4175329847
2019,2,1000635,3193552,6798703300
2019,2,1000634,3035674,12533298587
2019,2,1000633,2745767,6487763144
2019,2,1000632,2547108,14578244271
2019,2,1000631,2261803,9504630504
2019,2,1000630,2730862,7719993171
2019,2,1000629,2690345,4992577782
2019,2,1000628,2425586,5073230190
2019,2,1000627,2648295,7780131962
2019,2,1000626,2237717,6119040173
2019,2,1000625,3522159,8168258109
2019,2,1000624,2767012,6792651540
2019,2,1000623,2754836,7096638197
2019,2,1000622,2731912,7587930351
2019,2,1000621,2783866,7565209472
2019,2,1000620,3064641,5051945193
2019,2,1000619,2762425,7942431601
2019,2,1000618,2744953,6215419500
2019,2,1000617,2694735,8214415389
2019,2,1000616,2590290,7388124049
2019,2,1000615,3323636,8611358288
2019,2,1000614,3549032,8334081986
2019,2,1000613,3539068,9903260683
2019,2,1000612,2770814,5223018036
2019,2,1000611,2628368,12424695902
2019,2,1000610,2475654,11992937441
2019,2,1000609,2546458,10803783993
2019,2,1000608,3636116,8164545127
2019,2,1000607,3610897,6919163012
2019,2,1000606,2537959,9615264428
2019,2,1000605,3511389,14112498763
2019,2,1000604,2490904,13794017691
2019,2,1000603,2668702,11564674790
2019,2,1000602,2572468,11731959526
2019,2,1000601,2463195,13912346929
2019,2,1000600,2539928,11718245664
2019,2,1000599,2555907,13798051539
2019,2,1000598,3323346,10009591772
2019,2,1000597,4257453,9076593994
2019,2,1000596,4275785,9631515040
2019,2,1000595,3881677,2829327829
2019,2,1000594,3320407,6977089835
2019,2,1000593,2955919,10903437914
2019,2,1000592,2978745,10607234766
2019,2,1000591,2858836,10684679490
2019,2,1000590,2554782,3681943510
2019,2,1000589,2650712,8115826430
2019,2,1000588,2586493,10438202941
2019,2,1000587,3001839,9024106186
2019,2,1000586,2988021,7899024506
2019,2,1000585,3538673,7438509918
2019,2,1000584,2588439,11291988433
2019,2,1000583,2548120,5665406575
2019,2,1000582,2518004,15943709862
2019,2,1000581,2602772,10307208086
2019,2,1000580,2593387,6040481019
2019,2,1000579,3739066,10290282967
2019,2,1000578,4228302,11484455933
2019,2,1000577,3598444,10985747962
2019,2,1000576,3382065,7722342129
2019,2,1000575,3444771,5644683860
2019,2,1000574,4881905,4141531901
2019,2,1000573,2953969,8554340070
2019,2,1000572,2462397,12038042566
2019,2,1000571,2471546,12457216984
2019,2,1000570,2523886,16363257072
2019,2,1000569,2606465,13370556128
2019,2,1000568,2779927,6520495548
2019,2,1000567,2712441,10011913142
2019,2,1000566,2605865,13989206093
2019,2,1000565,2544359,12363267973
2019,2,1000564,2572953,14322583389
2019,2,1000563,2658064,13667275567
2019,2,1000562,3125761,9737328551
2019,2,1000561,3165393,11384983399
2019,2,1000560,3912720,11811112023
2019,2,1000559,4297640,7273548185
2019,2,1000558,2562400,10827876159
2019,2,1000557,2611652,14132146281
2019,2,1000556,2559112,20564269880
2019,2,1000555,2601994,15099820706
2019,2,1000554,2611903,22965248699
2019,2,1000553,2605048,15675537922
2019,2,1000552,2547999,18256301475
2019,2,1000551,2304308,6587426001
2019,2,1000550,2803500,5299553523
2019,2,1000549,2472832,5601587814
2019,2,1000548,2575356,9022942889
2019,2,1000547,2653170,11147829219
2019,2,1000546,2842965,7337932357
2019,2,1000545,2915722,9159900360
2019,2,1000544,4051910,7225832277
2019,2,1000543,4572928,6535279967
2019,2,1000542,4013233,6785644121
2019,2,1000541,3203085,9819778446
2019,2,1000540,3519321,7433157077
2019,2,1000539,2678857,9736683854
2019,2,1000538,2630771,9122686318
2019,2,1000537,3018044,11393231249
2019,2,1000536,2570424,9854748981
2019,2,1000535,2989955,7628544466
2019,2,1000534,2632876,8896084937
2019,2,1000533,4737044,10538065187
2019,2,1000532,5250916,8148775777
2019,2,1000531,4660696,9408292523
2019,2,1000530,4361369,7660787389
2019,2,1000529,3327754,12656623783
2019,2,1000528,3768464,9039608706
2019,2,1000527,3255725,9823833897
2019,2,1000526,2929454,11953122131
2019,2,1000525,3722934,10820710123
2019,2,1000524,3271472,2973664241
2019,2,1000523,2863615,11114307381
2019,2,1000522,3735709,8709374540
2019,2,1000521,3065802,8023845818
2019,2,1000520,5364517,6087068447
2019,2,1000519,5565096,10420226318
2019,2,1000518,3560237,5151027140
2019,2,1000517,3624238,4004198309
2019,2,1000516,3071445,6105406393
2019,2,1000515,2510380,7817088279
2019,2,1000514,2347871,6552341101
2019,2,1000513,2246558,6179054191
2019,2,1000512,2443833,9974926363
2019,2,1000511,2292264,10819343100
2019,2,1000510,2332038,10379908633
2019,2,1000509,2435120,8028270979
2019,2,1000508,2496206,11435821428
2019,2,1000507,2162069,4108877737
2019,2,1000506,3180535,10065756064
2019,2,1000505,4994753,8208486551
2019,2,1000504,3905425,7809096391
2019,2,1000503,3590627,10449069400
2019,2,1000502,3258372,10979966122
2019,2,1000501,2962167,12166899840
2019,2,1000500,2861124,9512898256
2019,2,1000499,3018941,10284772312
2019,2,1000498,2878097,10734478788
2019,2,1000497,3074887,8984379554
2019,2,1000496,3683893,5934811755
2019,2,1000495,2877707,4262039822
2019,2,1000494,2852472,4708507293
2019,2,1000493,3700230,5652356328
2019,2,1000492,3340419,8921706263
2019,2,1000491,4275434,5847413345
2019,2,1000490,4587207,4684563404
2019,2,1000489,3741006,5531703330
2019,2,1000488,3702188,5701634544
2019,2,1000487,3992944,4565903187
2019,2,1000486,3809617,5835130463
2019,2,1000485,3413571,4819563138
2019,2,1000484,3015033,11038024794
2019,2,1000483,3146279,6297122823
2019,2,1000482,2948354,10603197061
2019,2,1000481,3092419,8465512138
2019,2,1000480,4323931,8050502095
2019,2,1000479,3076435,9450984441
2019,2,1000478,3553142,8065589664
2019,2,1000477,3423343,6158537211
2019,2,1000476,2858754,12663547962
2019,2,1000475,2906449,10477337118
2019,2,1000474,3891539,9584063161
2019,2,1000473,4615775,6279397314
2019,2,1000472,4937255,8633496955
2019,2,1000471,4878694,6164012372
2019,2,1000470,3294803,6997466476
2019,2,1000469,3201097,8149975912
2019,2,1000468,3192198,6377537664
2019,2,1000467,3133943,7557452215
2019,2,1000466,3118727,8536399236
2019,2,1000465,3039427,5489938755
2019,2,1000464,3738777,9140973266
2019,2,1000463,5160477,6297199704
2019,2,1000462,4577602,8452791353
2019,2,1000461,4489083,10535577240
2019,2,1000460,2679647,4885811837
2019,2,1000459,3052165,7195785216
2019,2,1000458,3942763,6602332994
2019,2,1000457,3157637,5847903542
2019,2,1000456,2807531,5343203513
2019,2,1000455,3083893,4902622799
2019,2,1000454,2743405,6807964467
2019,2,1000453,5005078,3173683838
2019,2,1000452,4593658,4134665933
2019,2,1000451,3953375,6635743275
2019,2,1000450,2712518,7608031637
2019,2,1000449,3047699,15607051719
2019,2,1000448,2852778,10986212621
2019,2,1000447,2872222,8270640157
2019,2,1000446,2622075,11408630373
2019,2,1000445,3511014,5310549338
2019,2,1000444,3217031,5736771198
2019,2,1000443,4040015,7498772859
2019,2,1000442,3208739,8119719737
2019,2,1000441,3500117,8991817471
2019,2,1000440,3415609,5823866594
2019,2,1000439,3290494,6749832951
2019,2,1000438,3659647,14220865201
2019,2,1000437,2579920,8049789454
2019,2,1000436,4237557,9139250518
2019,2,1000435,2907619,10503736568
2019,2,1000434,2443268,9190848348
2019,2,1000433,2508109,9487186905
2019,2,1000432,3006981,8990225050
2019,2,1000431,2625893,9521868854
2019,2,1000430,2612271,14107302604
2019,2,1000429,2663792,14738447697
2019,2,1000428,3300181,8015443400
2019,2,1000427,2839799,6759915294
2019,2,1000426,2810111,6042490361
2019,2,1000425,2584962,13901794237
2019,2,1000424,2721887,7935756156
2019,2,1000423,2832406,7079902712
2019,2,1000422,2651988,7935192412
2019,2,1000421,2821400,10689481504
2019,2,1000420,3062651,7588403485
2019,2,1000419,3013877,5903661355
2019,2,1000418,2522257,6218934738
2019,2,1000417,2390524,5015499802
2019,2,1000416,2745206,11414163814
2019,2,1000415,2627317,12544128642
2019,2,1000414,3084003,6548666683
2019,2,1000413,2798588,10681095594
2019,2,1000412,2868752,10010639330
2019,2,1000411,2558283,14055095943
2019,2,1000410,2461421,6898602966
2019,2,1000409,2589210,12987780097
2019,2,1000408,2550451,8691995038
2019,2,1000407,2459848,7575045071
2019,2,1000406,2635883,6797417165
2019,2,1000405,2913918,11049961848
2019,2,1000404,2666311,11794836559
2019,2,1000403,2630628,13147800080
2019,2,1000402,2635037,11845901652
2019,2,1000401,2647371,14876596363
2019,2,1000400,2611234,13413673930
2019,2,1000399,2540653,12539055817
2019,2,1000398,2861725,14154647730
2019,2,1000397,2483116,2919106865
2019,2,1000396,2618878,13820106622
2019,2,1000395,2760689,9241403625
2019,2,1000394,2609497,10217150489
2019,2,1000393,2719064,12870743393
2019,2,1000392,2543553,10480102168
2019,2,1000391,2680519,10990521380
2019,2,1000390,2779342,10778285937
2019,2,1000389,2414229,10950398275
2019,2,1000388,2473553,9815978102
2019,2,1000387,2633492,10185630041
2019,2,1000386,3037522,7955571980
2019,2,1000385,2971450,5986196032
2019,2,1000384,2531003,10246196062
2019,2,1000383,3276242,5369322908
2019,2,1000382,3424947,11604103070
2019,2,1000381,3280303,4895030879
2019,2,1000380,2693909,12138972734
2019,2,1000379,2792079,10554424260
2019,2,1000378,3629453,4250110840
2019,2,1000377,3452034,9976632601
2019,2,1000376,2406349,7680997846
2019,2,1000375,2639028,6971274944
2019,2,1000374,2241430,5858104174
2019,2,1000373,2486695,3536024145
2019,2,1000372,2343858,8581159470
2019,2,1000371,2569954,9514150601
2019,2,1000370,3319646,5148471382
2019,2,1000369,2378188,7673829773
2019,2,1000368,2908193,3976360443
2019,2,1000367,2529871,1733011768
2019,2,1000366,2869050,5708713980
2019,2,1000365,2639757,4835237990
2019,2,1000364,2350002,5991656942
2019,2,1000363,2431004,6225893313
2019,2,1000362,2344576,8711602698
2019,2,1000361,2423874,7048446619
2019,2,1000360,2507972,10036200007
2019,2,1000359,2769875,9351994369
2019,2,1000358,2339910,7775730091
2019,2,1000357,2175954,8087587004
2019,2,1000356,2134644,8862501767
2019,2,1000355,2216955,8454364263
2019,2,1000354,2337647,8052952168
2019,2,1000353,3701560,6885040479
2019,2,1000352,2447008,9627491301
2019,2,1000351,2627580,6612092745
2019,2,1000350,2289656,5319206911
2019,2,1000349,2578067,7314316657
2019,2,1000348,2439403,7129918692
2019,2,1000347,2410652,6573931580
2019,2,1000346,2643373,7208430926
2019,2,1000345,2536022,6783388205
2019,2,1000344,2375217,9656496268
2019,2,1000343,2374896,9039075202
2019,2,1000342,2402269,7300088730
2019,2,1000341,2387262,7411458826
2019,2,1000340,2871137,5773514465
2019,2,1000339,2373176,8322237355
2019,2,1000338,2334309,7674797005
2019,2,1000337,2441954,8707392419
2019,2,1000336,2368013,6998631968
2019,2,1000335,2393285,9492954457
2019,2,1000334,2328066,10714198196
2019,2,1000333,2274434,9637259269
2019,2,1000332,2267728,9206557367
2019,2,1000331,2835350,11633723492
