year,quarter,district,b_worker
2019,2,1000778,5343
2019,2,1000777,8201
2019,2,1000776,2937
2019,2,1000775,3313
2019,2,1000774,6852
2019,2,1000773,11134
2019,2,1000772,8659
2019,2,1000771,8048
2019,2,1000770,4322
2019,2,1000769,984
2019,2,1000768,4775
2019,2,1000767,2336
2019,2,1000766,2198
2019,2,1000765,5225
2019,2,1000764,2985
2019,2,1000763,2905
2019,2,1000762,2767
2019,2,1000761,3077
2019,2,1000760,2666
2019,2,1000759,4437
2019,2,1000758,1753
2019,2,1000757,3144
2019,2,1000756,2137
2019,2,1000755,5738
2019,2,1000754,1432
2019,2,1000753,4611
2019,2,1000752,3337
2019,2,1000751,1543
2019,2,1000750,872
2019,2,1000749,2778
2019,2,1000748,2527
2019,2,1000747,2629
2019,2,1000746,1965
2019,2,1000745,2545
2019,2,1000744,7920
2019,2,1000743,6622
2019,2,1000742,3055
2019,2,1000741,4384
2019,2,1000740,1969
2019,2,1000739,6906
2019,2,1000738,3084
2019,2,1000737,4436
2019,2,1000736,6775
2019,2,1000735,1406
2019,2,1000734,2320
2019,2,1000733,2681
2019,2,1000732,2781
2019,2,1000731,3856
2019,2,1000730,4030
2019,2,1000729,2870
2019,2,1000728,7506
2019,2,1000727,8617
2019,2,1000726,11000
2019,2,1000725,3359
2019,2,1000724,3342
2019,2,1000723,2791
2019,2,1000722,4563
2019,2,1000721,14456
2019,2,1000720,19202
2019,2,1000719,33984
2019,2,1000718,2773
2019,2,1000717,1593
2019,2,1000716,2267
2019,2,1000715,2369
2019,2,1000714,1730
2019,2,1000713,13989
2019,2,1000712,8231
2019,2,1000711,21865
2019,2,1000710,30189
2019,2,1000709,2528
2019,2,1000708,2911
2019,2,1000707,2418
2019,2,1000706,2799
2019,2,1000705,1343
2019,2,1000704,1208
2019,2,1000703,5323
2019,2,1000702,14752
2019,2,1000701,1802
2019,2,1000700,9735
2019,2,1000699,1619
2019,2,1000698,3608
2019,2,1000697,3029
2019,2,1000696,4573
2019,2,1000695,5805
2019,2,1000694,14545
2019,2,1000693,4339
2019,2,1000692,2540
2019,2,1000691,11671
2019,2,1000690,22555
2019,2,1000689,34091
2019,2,1000688,21931
2019,2,1000687,11445
2019,2,1000686,19805
2019,2,1000685,21754
2019,2,1000684,24252
2019,2,1000683,1670
2019,2,1000682,4127
2019,2,1000681,2704
2019,2,1000680,5701
2019,2,1000679,7583
2019,2,1000678,3187
2019,2,1000677,7697
2019,2,1000676,8190
2019,2,1000675,3354
2019,2,1000674,3660
2019,2,1000673,5546
2019,2,1000672,3589
2019,2,1000671,4216
2019,2,1000670,73061
2019,2,1000669,11239
2019,2,1000668,34744
2019,2,1000667,4161
2019,2,1000666,1509
2019,2,1000665,1200
2019,2,1000664,1657
2019,2,1000663,1453
2019,2,1000662,499
2019,2,1000661,1008
2019,2,1000660,5093
2019,2,1000659,5498
2019,2,1000658,2422
2019,2,1000657,418
2019,2,1000656,2701
2019,2,1000655,18750
2019,2,1000654,43301
2019,2,1000653,4511
2019,2,1000652,1374
2019,2,1000651,8893
2019,2,1000650,3182
2019,2,1000649,2789
2019,2,1000648,7253
2019,2,1000647,2231
2019,2,1000646,1558
2019,2,1000645,1723
2019,2,1000644,44001
2019,2,1000643,46190
2019,2,1000642,40121
2019,2,1000641,11464
2019,2,1000640,11359
2019,2,1000639,2053
2019,2,1000638,3908
2019,2,1000637,2343
2019,2,1000636,10057
2019,2,1000635,5179
2019,2,1000634,15388
2019,2,1000633,8154
2019,2,1000632,2198
2019,2,1000631,19295
2019,2,1000630,4859
2019,2,1000629,3852
2019,2,1000628,7125
2019,2,1000627,7572
2019,2,1000626,18927
2019,2,1000625,9060
2019,2,1000624,2922
2019,2,1000623,1205
2019,2,1000622,1223
2019,2,1000621,1453
2019,2,1000620,4608
2019,2,1000619,2407
2019,2,1000618,1433
2019,2,1000617,2475
2019,2,1000616,4709
2019,2,1000615,5376
2019,2,1000614,4807
2019,2,1000613,2166
2019,2,1000612,877
2019,2,1000611,2184
2019,2,1000610,1249
2019,2,1000609,5057
2019,2,1000608,35534
2019,2,1000607,14558
2019,2,1000606,6307
2019,2,1000605,4101
2019,2,1000604,2982
2019,2,1000603,1958
2019,2,1000602,3509
2019,2,1000601,830
2019,2,1000600,2654
2019,2,1000599,2006
2019,2,1000598,2451
2019,2,1000597,4584
2019,2,1000596,2748
2019,2,1000595,6966
2019,2,1000594,7874
2019,2,1000593,3652
2019,2,1000592,3730
2019,2,1000591,4034
2019,2,1000590,3479
2019,2,1000589,2587
2019,2,1000588,2451
2019,2,1000587,4290
2019,2,1000586,3334
2019,2,1000585,1626
2019,2,1000584,1795
2019,2,1000583,2517
2019,2,1000582,2193
2019,2,1000581,2892
2019,2,1000580,3249
2019,2,1000579,5631
2019,2,1000578,6315
2019,2,1000577,5653
2019,2,1000576,16672
2019,2,1000575,5217
2019,2,1000574,5875
2019,2,1000573,3422
2019,2,1000572,1015
2019,2,1000571,1245
2019,2,1000570,1945
2019,2,1000569,2681
2019,2,1000568,40321
2019,2,1000567,39856
2019,2,1000566,3851
2019,2,1000565,2754
2019,2,1000564,2865
2019,2,1000563,2721
2019,2,1000562,3113
2019,2,1000561,3332
2019,2,1000560,2508
2019,2,1000559,2116
2019,2,1000558,2936
2019,2,1000557,3641
2019,2,1000556,1685
2019,2,1000555,1768
2019,2,1000554,3170
2019,2,1000553,1833
2019,2,1000552,2437
2019,2,1000551,3083
2019,2,1000550,1504
2019,2,1000549,1897
2019,2,1000548,2824
2019,2,1000547,2203
2019,2,1000546,2188
2019,2,1000545,2314
2019,2,1000544,2431
2019,2,1000543,3963
2019,2,1000542,1994
2019,2,1000541,3745
2019,2,1000540,2810
2019,2,1000539,2734
2019,2,1000538,3112
2019,2,1000537,3399
2019,2,1000536,3228
2019,2,1000535,1490
2019,2,1000534,3102
2019,2,1000533,3332
2019,2,1000532,3233
2019,2,1000531,1889
2019,2,1000530,2456
2019,2,1000529,2513
2019,2,1000528,2966
2019,2,1000527,3014
2019,2,1000526,1719
2019,2,1000525,1397
2019,2,1000524,1571
2019,2,1000523,1769
2019,2,1000522,5490
2019,2,1000521,5437
2019,2,1000520,2359
2019,2,1000519,7956
2019,2,1000518,1098
2019,2,1000517,3013
2019,2,1000516,2667
2019,2,1000515,3324
2019,2,1000514,1624
2019,2,1000513,3235
2019,2,1000512,3650
2019,2,1000511,3869
2019,2,1000510,2731
2019,2,1000509,2485
2019,2,1000508,2927
2019,2,1000507,1562
2019,2,1000506,4712
2019,2,1000505,19313
2019,2,1000504,15904
2019,2,1000503,7140
2019,2,1000502,8254
2019,2,1000501,2313
2019,2,1000500,7247
2019,2,1000499,8954
2019,2,1000498,6592
2019,2,1000497,12090
2019,2,1000496,6207
2019,2,1000495,9758
2019,2,1000494,7546
2019,2,1000493,10152
2019,2,1000492,9172
2019,2,1000491,15439
2019,2,1000490,1656
2019,2,1000489,1065
2019,2,1000488,9488
2019,2,1000487,11314
2019,2,1000486,6219
2019,2,1000485,6176
2019,2,1000484,8114
2019,2,1000483,3803
2019,2,1000482,7594
2019,2,1000481,6590
2019,2,1000480,16851
2019,2,1000479,4032
2019,2,1000478,3546
2019,2,1000477,17750
2019,2,1000476,2820
2019,2,1000475,6720
2019,2,1000474,13649
2019,2,1000473,18376
