year,quarter,district,s_worker
2019,2,1001240,1786
2019,2,1001239,18781
2019,2,1001238,1781
2019,2,1001237,593
2019,2,1001236,976
2019,2,1001235,19553
2019,2,1001234,507
2019,2,1001233,3047
2019,2,1001232,2652
2019,2,1001231,1246
2019,2,1001230,19641
2019,2,1001229,1421
2019,2,1001228,3106
2019,2,1001227,55674
2019,2,1001226,15994
2019,2,1001225,561
2019,2,1001224,1755
2019,2,1001223,44020
2019,2,1001222,396
2019,2,1001221,2032
2019,2,1001220,1685
2019,2,1001219,109
2019,2,1001218,544
2019,2,1001217,148
2019,2,1001216,3768
2019,2,1001215,18896
2019,2,1001214,9951
2019,2,1001213,3769
2019,2,1001212,378
2019,2,1001211,2174
2019,2,1001210,16175
2019,2,1001209,18067
2019,2,1001208,24690
2019,2,1001207,3935
2019,2,1001206,3320
2019,2,1001205,1958
2019,2,1001204,17794
2019,2,1001203,17311
2019,2,1001202,35154
2019,2,1001201,1100
2019,2,1001200,8135
2019,2,1001199,25323
2019,2,1001198,633
2019,2,1001197,2933
2019,2,1001196,49346
2019,2,1001195,1715
2019,2,1001194,2123
2019,2,1001193,2614
2019,2,1001192,4871
2019,2,1001191,43
2019,2,1001190,6926
2019,2,1001189,8002
2019,2,1001188,1592
2019,2,1001187,330
2019,2,1001186,1207
2019,2,1001185,4002
2019,2,1001184,2794
2019,2,1001183,2503
2019,2,1001182,17048
2019,2,1001181,1982
2019,2,1001180,5384
2019,2,1001179,5321
2019,2,1001178,3131
2019,2,1001177,515
2019,2,1001176,41
2019,2,1001175,1397
2019,2,1001174,633
2019,2,1001173,1407
2019,2,1001172,169
2019,2,1001171,957
2019,2,1001170,4855
2019,2,1001169,5761
2019,2,1001168,12123
2019,2,1001167,8182
2019,2,1001166,14367
2019,2,1001165,1569
2019,2,1001164,4891
2019,2,1001163,3905
2019,2,1001162,581
2019,2,1001161,865
2019,2,1001160,1490
2019,2,1001159,625
2019,2,1001158,5817
2019,2,1001157,336
2019,2,1001156,3638
2019,2,1001155,3269
2019,2,1001154,539
2019,2,1001153,859
2019,2,1001152,2766
2019,2,1001151,2637
2019,2,1001150,1473
2019,2,1001149,1156
2019,2,1001148,182
2019,2,1001147,2290
2019,2,1001146,1979
2019,2,1001145,12218
2019,2,1001144,22362
2019,2,1001143,12319
2019,2,1001142,2806
2019,2,1001141,12954
2019,2,1001140,10385
2019,2,1001139,884
2019,2,1001138,10220
2019,2,1001137,687
2019,2,1001136,303
2019,2,1001135,25750
2019,2,1001134,56221
2019,2,1001133,3459
2019,2,1001132,2041
2019,2,1001131,6290
2019,2,1001130,4644
2019,2,1001129,920
2019,2,1001128,2085
2019,2,1001127,49466
2019,2,1001126,49
2019,2,1001125,2897
2019,2,1001124,982
2019,2,1001123,8375
2019,2,1001122,13574
2019,2,1001121,944
2019,2,1001120,5906
2019,2,1001119,969
2019,2,1001118,16718
2019,2,1001117,10284
2019,2,1001116,451
2019,2,1001115,5291
2019,2,1001114,1587
2019,2,1001113,235
2019,2,1001112,5416
2019,2,1001111,4603
2019,2,1001110,40450
2019,2,1001109,9949
2019,2,1001108,2812
2019,2,1001107,5226
2019,2,1001106,3399
2019,2,1001105,1445
2019,2,1001104,11446
2019,2,1001103,26319
2019,2,1001102,2579
2019,2,1001101,3671
2019,2,1001100,2978
2019,2,1001099,18461
2019,2,1001098,10442
2019,2,1001097,3374
2019,2,1001096,7280
2019,2,1001095,9710
2019,2,1001094,3281
2019,2,1001093,7698
2019,2,1001092,4234
2019,2,1001091,9260
2019,2,1001090,2885
2019,2,1001089,3558
2019,2,1001088,30803
2019,2,1001087,16076
2019,2,1001086,3888
2019,2,1001085,35271
2019,2,1001084,29179
2019,2,1001083,354
2019,2,1001082,21601
2019,2,1001081,35830
2019,2,1001080,238
2019,2,1001079,216
2019,2,1001078,12707
2019,2,1001077,19230
2019,2,1001076,458
2019,2,1001075,6667
2019,2,1001074,8108
2019,2,1001073,32290
2019,2,1001072,672
2019,2,1001071,1356
2019,2,1001070,498
2019,2,1001069,292
2019,2,1001068,207
2019,2,1001067,1862
2019,2,1001066,33083
2019,2,1001065,480
2019,2,1001064,565
2019,2,1001063,6657
2019,2,1001062,30628
2019,2,1001061,523
2019,2,1001060,61
2019,2,1001059,3023
2019,2,1001058,4310
2019,2,1001057,4587
2019,2,1001056,5688
2019,2,1001055,3711
2019,2,1001054,1138
2019,2,1001053,319
2019,2,1001052,15677
2019,2,1001051,11978
2019,2,1001050,24301
2019,2,1001049,620
2019,2,1001048,5660
2019,2,1001047,4376
2019,2,1001046,1154
2019,2,1001045,1294
2019,2,1001044,8624
2019,2,1001043,2016
2019,2,1001042,4845
2019,2,1001041,12474
2019,2,1001040,448
2019,2,1001039,7655
2019,2,1001038,69308
2019,2,1001037,2585
2019,2,1001036,131
2019,2,1001035,2456
2019,2,1001034,2820
2019,2,1001033,4040
2019,2,1001032,462
2019,2,1001031,1442
2019,2,1001030,5961
2019,2,1001029,1363
2019,2,1001028,248
2019,2,1001027,37770
2019,2,1001026,115
2019,2,1001025,3202
2019,2,1001024,3324
2019,2,1001023,41516
2019,2,1001022,1647
2019,2,1001021,22554
2019,2,1001020,8994
2019,2,1001019,582
2019,2,1001018,15004
2019,2,1001017,2050
2019,2,1001016,932
2019,2,1001015,4841
2019,2,1001014,750
2019,2,1001013,2333
2019,2,1001012,2535
2019,2,1001011,1128
2019,2,1001010,271
2019,2,1001009,728
2019,2,1001008,252
2019,2,1001007,823
2019,2,1001006,239
2019,2,1001005,595
2019,2,1001004,798
2019,2,1001003,234
2019,2,1001002,596
2019,2,1001001,538
2019,2,1001000,190
2019,2,1000999,452
2019,2,1000998,176
2019,2,1000997,300
2019,2,1000996,339
2019,2,1000995,144
2019,2,1000994,225
2019,2,1000993,2031
2019,2,1000992,233
2019,2,1000991,741
2019,2,1000990,395
2019,2,1000989,342
2019,2,1000988,500
2019,2,1000987,170
2019,2,1000986,655
2019,2,1000985,257
2019,2,1000984,1781
2019,2,1000983,1516
2019,2,1000982,437
2019,2,1000981,649
2019,2,1000980,489
2019,2,1000979,488
2019,2,1000978,405
2019,2,1000977,459
2019,2,1000976,150
2019,2,1000975,128
2019,2,1000974,278
2019,2,1000973,207
2019,2,1000972,468
2019,2,1000971,57
2019,2,1000970,206
2019,2,1000969,143
2019,2,1000968,402
2019,2,1000967,1010
2019,2,1000966,382
2019,2,1000965,1258
2019,2,1000964,1661
2019,2,1000963,1028
2019,2,1000962,526
2019,2,1000961,2401
2019,2,1000960,1766
2019,2,1000959,1204
2019,2,1000958,1601
2019,2,1000957,1095
2019,2,1000956,1043
2019,2,1000955,1818
2019,2,1000954,1347
2019,2,1000953,759
2019,2,1000952,642
2019,2,1000951,999
2019,2,1000950,359
2019,2,1000949,685
2019,2,1000948,845
2019,2,1000947,1395
2019,2,1000946,778
2019,2,1000945,1977
2019,2,1000944,1019
2019,2,1000943,547
2019,2,1000942,421
2019,2,1000941,1179
2019,2,1000940,588
2019,2,1000939,1692
2019,2,1000938,625
2019,2,1000937,3119
2019,2,1000936,1984
2019,2,1000935,5013
2019,2,1000934,601
2019,2,1000933,475
2019,2,1000932,1301
2019,2,1000931,12892
2019,2,1000930,10678
2019,2,1000929,1636
2019,2,1000928,370
2019,2,1000927,1683
2019,2,1000926,1015
2019,2,1000925,901
2019,2,1000924,2303
2019,2,1000923,1458
2019,2,1000922,802
2019,2,1000921,246
2019,2,1000920,719
2019,2,1000919,318
2019,2,1000918,257
2019,2,1000917,674
2019,2,1000916,1524
2019,2,1000915,750
2019,2,1000914,4240
2019,2,1000913,3670
2019,2,1000912,814
2019,2,1000911,665
2019,2,1000910,1942
2019,2,1000909,2054
2019,2,1000908,1159
2019,2,1000907,2122
2019,2,1000906,617
2019,2,1000905,430
2019,2,1000904,4932
2019,2,1000903,1227
2019,2,1000902,1757
2019,2,1000901,1579
2019,2,1000900,5802
2019,2,1000899,450
2019,2,1000898,3912
2019,2,1000897,333
2019,2,1000896,1176
2019,2,1000895,1262
2019,2,1000894,1094
2019,2,1000893,616
2019,2,1000892,195
2019,2,1000891,863
2019,2,1000890,1412
2019,2,1000889,1134
2019,2,1000888,1455
2019,2,1000887,2216
2019,2,1000886,205
2019,2,1000885,4963
2019,2,1000884,508
2019,2,1000883,1200
2019,2,1000882,1100
2019,2,1000881,2062
2019,2,1000880,853
2019,2,1000879,626
2019,2,1000878,140
2019,2,1000877,986
2019,2,1000876,2069
2019,2,1000875,1829
2019,2,1000874,113
2019,2,1000873,1200
2019,2,1000872,976
2019,2,1000871,2284
2019,2,1000870,1817
2019,2,1000869,475
2019,2,1000868,184
2019,2,1000867,832
2019,2,1000866,1570
2019,2,1000865,1517
2019,2,1000864,1401
2019,2,1000863,1616
2019,2,1000862,1631
2019,2,1000861,572
2019,2,1000860,2680
2019,2,1000859,3566
2019,2,1000858,778
2019,2,1000857,1027
2019,2,1000856,1766
2019,2,1000855,705
