year,quarter,district,facil_total,bank,pharm,theater,subway_st,bus_st
2019,2,1000273,17,1,2,,,3
2019,2,1000954,36,1,7,,,4
2019,2,1001257,77,2,7,,,9
2019,2,1000772,20,,2,,,4
2019,2,1000800,23,1,3,,,4
2019,2,1000603,12,,2,,,
2019,2,1000854,11,,2,,,2
2019,2,1001266,16,5,1,,1,1
2019,2,1000166,25,,5,,,5
2019,2,1001490,17,,3,,,1
2019,2,1000523,12,,1,,,2
2019,2,1001256,69,2,4,,1,5
2019,2,1001037,66,2,11,,,4
2019,2,1000708,22,,5,,,1
2019,2,1000843,6,,2,,,
2019,2,1000826,14,,2,,,6
2019,2,1000588,22,3,5,,,1
2019,2,1000337,32,,5,,,2
2019,2,1000941,34,3,5,,,1
2019,2,1000944,37,1,7,,,4
2019,2,1000184,13,,3,,,2
2019,2,1000447,19,1,2,,,3
2019,2,1000851,11,1,,,,2
2019,2,1001138,119,4,2,6,1,4
2019,2,1001135,407,14,25,7,,7
2019,2,1001092,102,4,7,,,12
2019,2,1001056,21,5,,,,2
2019,2,1000952,16,2,3,,,
2019,2,1001181,48,4,3,1,1,7
2019,2,1000641,15,1,2,,,2
2019,2,1001043,71,7,7,,2,7
2019,2,1001226,65,8,10,2,,3
2019,2,1001099,71,9,4,,,4
2019,2,1001331,12,1,,,,1
2019,2,1000358,18,1,3,,,3
2019,2,1000047,18,1,3,,,1
2019,2,1001063,69,4,6,,,7
2019,2,1001164,60,7,6,,,5
2019,2,1001273,70,7,8,8,,7
2019,2,1001314,11,3,4,,,1
2019,2,1000039,34,4,1,5,,4
2019,2,1000008,20,,,1,,6
2019,2,1000187,5,,,,,
2019,2,1001179,53,3,5,1,,8
2019,2,1001232,113,2,5,6,1,1
2019,2,1001492,593,63,37,51,2,50
2019,2,1000043,1,,,,,
2019,2,1000492,7,,,,,
2019,2,1001304,1,,,,,
2019,2,1000066,2,,,,,
2019,2,1001356,1,,1,,,
2019,2,1000212,2,,,,,
2019,2,1000473,2,,,,,2
2019,2,1000113,1,,,,,
2019,2,1001344,1,,,,,
2019,2,1000752,3,,,,,
2019,2,1000750,5,,,,,3
2019,2,1001445,6,,,,,
2019,2,1000683,5,,1,,,1
2019,2,1000370,4,,,,,1
2019,2,1001026,8,,2,,,1
2019,2,1000208,4,,1,,,1
2019,2,1000915,4,,,,,1
2019,2,1001488,5,,1,,,
2019,2,1001302,5,,,,,2
