year,quarter,district,floatpop
2014,1,1000233,228027
2014,1,1000234,116510
2014,1,1000235,448578
2014,1,1000236,79069
2014,1,1000237,330008
2014,1,1000238,199186
2014,1,1000239,251457
2014,1,1000240,151960
2014,1,1000241,157446
2014,1,1000242,449435
2014,1,1000243,251607
2014,1,1000244,267164
2014,1,1000245,295162
2014,1,1000246,345194
2014,1,1000247,403481
2014,1,1000248,302840
2014,1,1000249,328615
2014,1,1000250,186377
2014,1,1000251,144759
2014,1,1000252,839983
2014,1,1000253,339763
2014,1,1000254,303584
2014,1,1000255,181053
2014,1,1000256,278469
2014,1,1000257,211907
2014,1,1000258,284814
2014,1,1000259,279026
2014,1,1000260,184884
2014,1,1000261,109642
2014,1,1000262,85811
2014,1,1000263,230244
2014,1,1000264,248620
2014,1,1000265,198292
2014,1,1000266,132737
2014,1,1000267,88784
2014,1,1000268,136700
2014,1,1000269,216670
2014,1,1000270,171637
2014,1,1000271,116760
2014,1,1000272,137294
2014,1,1000273,166341
2014,1,1000274,415278
2014,1,1000275,55205
2014,1,1000276,92400
2014,1,1000277,170857
2014,1,1000278,239167
2014,1,1000279,66080
2014,1,1000280,170822
2014,1,1000281,302869
2014,1,1000282,60730
2014,1,1000283,108199
2014,1,1000284,167513
2014,1,1000285,103100
2014,1,1000286,356324
2014,1,1000287,473665
2014,1,1000288,380876
2014,1,1000289,154697
2014,1,1000290,113233
2014,1,1000291,180952
2014,1,1000292,370621
2014,1,1000293,69908
2014,1,1000294,113312
2014,1,1000295,147020
2014,1,1000296,243827
2014,1,1000297,59656
2014,1,1000298,109537
2014,1,1000299,33447
2014,1,1000300,188159
2014,1,1000301,154058
2014,1,1000302,47675
2014,1,1000303,186762
2014,1,1000304,89596
2014,1,1000305,300596
2014,1,1000306,82174
2014,1,1000307,226298
2014,1,1000308,202919
2014,1,1000309,112614
2014,1,1000310,147775
2014,1,1000311,354428
2014,1,1000312,131549
2014,1,1000313,183562
2014,1,1000314,180888
2014,1,1000315,210623
2014,1,1000316,111341
2014,1,1000317,131488
2014,1,1000318,151114
2014,1,1000319,266947
2014,1,1000320,249986
2014,1,1000321,245834
2014,1,1000322,343805
2014,1,1000323,170646
2014,1,1000324,175799
2014,1,1000325,90200
2014,1,1000326,155622
2014,1,1000327,126609
2014,1,1000328,171424
2014,1,1000329,345697
2014,1,1000330,98060
2014,1,1000331,312655
2014,1,1000332,143512
2014,1,1000333,219080
2014,1,1000334,225665
2014,1,1000335,160282
2014,1,1000336,191780
2014,1,1000337,442628
2014,1,1000338,434556
2014,1,1000339,199633
2014,1,1000340,128719
2014,1,1000341,208672
2014,1,1000342,602368
2014,1,1000343,154938
2014,1,1000344,147397
2014,1,1000345,71467
2014,1,1000346,278664
2014,1,1000347,460970
2014,1,1000348,239047
2014,1,1000349,446514
2014,1,1000350,186106
2014,1,1000351,210718
2014,1,1000352,358895
2014,1,1000353,219580
2014,1,1000354,152204
2014,1,1000355,104905
2014,1,1000356,241114
2014,1,1000357,334242
2014,1,1000358,191335
2014,1,1000359,192341
2014,1,1000360,548934
2014,1,1000361,172974
2014,1,1000362,338913
2014,1,1000363,78618
2014,1,1000364,131336
2014,1,1000365,177079
2014,1,1000366,93099
2014,1,1000367,21751
2014,1,1000368,84924
2014,1,1000369,187583
2014,1,1000370,114921
2014,1,1000371,142891
2014,1,1000372,256633
2014,1,1000373,57700
2014,1,1000374,186262
2014,1,1000375,246238
2014,1,1000376,129589
2014,1,1000377,87067
2014,1,1000378,118865
2014,1,1000379,271259
2014,1,1000380,213744
2014,1,1000381,154307
2014,1,1000382,199037
2014,1,1000383,212358
2014,1,1000384,196562
2014,1,1000385,191867
2014,1,1000386,380501
2014,1,1000387,262693
2014,1,1000388,403852
2014,1,1000389,257361
2014,1,1000390,211595
2014,1,1000391,110069
2014,1,1000392,85617
2014,1,1000393,135416
2014,1,1000394,391892
2014,1,1000395,87554
2014,1,1000396,127909
2014,1,1000397,167795
2014,1,1000398,171203
2014,1,1000399,274073
2014,1,1000400,182285
2014,1,1000401,328447
2014,1,1000402,251200
2014,1,1000403,279925
2014,1,1000404,123096
2014,1,1000405,278571
2014,1,1000406,103644
2014,1,1000407,101772
2014,1,1000408,142028
2014,1,1000409,222664
2014,1,1000410,170442
2014,1,1000411,448360
2014,1,1000412,227015
2014,1,1000413,268113
2014,1,1000414,87098
2014,1,1000415,244747
2014,1,1000416,325521
2014,1,1000417,235396
2014,1,1000418,166305
2014,1,1000419,163703
2014,1,1000420,199593
2014,1,1000421,162534
2014,1,1000422,268596
2014,1,1000423,75965
2014,1,1000424,156906
2014,1,1000425,143097
2014,1,1000426,83439
2014,1,1000427,153154
2014,1,1000428,111152
2014,1,1000429,379476
2014,1,1000430,252863
2014,1,1000431,90610
2014,1,1000432,62435
2014,1,1000433,133938
2014,1,1000434,98249
2014,1,1000435,202797
2014,1,1000436,345353
2014,1,1000437,212479
2014,1,1000438,126072
2014,1,1000439,289543
2014,1,1000440,277857
2014,1,1000441,348590
2014,1,1000442,570859
2014,1,1000443,134219
2014,1,1000444,101080
2014,1,1000445,121258
2014,1,1000446,233862
2014,1,1000447,395496
2014,1,1000448,218133
2014,1,1000449,362604
2014,1,1000450,181602
2014,1,1000451,73139
2014,1,1000452,266583
2014,1,1000453,86945
2014,1,1000454,384154
2014,1,1000455,357385
2014,1,1000456,115735
2014,1,1000457,118837
2014,1,1000458,169631
2014,1,1000459,375259
2014,1,1000460,265532
2014,1,1000461,269860
2014,1,1000462,830262
2014,1,1000463,175565
2014,1,1000464,188131
2014,1,1000465,188256
2014,1,1000466,180508
2014,1,1000467,215818
2014,1,1000468,126435
2014,1,1000469,160168
2014,1,1000470,186335
2014,1,1000471,119235
2014,1,1000472,301378
2014,1,1000473,238911
2014,1,1000474,455295
2014,1,1000475,165959
2014,1,1000476,263843
2014,1,1000477,235355
2014,1,1000478,140896
2014,1,1000479,589444
2014,1,1000480,393413
2014,1,1000481,222786
2014,1,1000482,276907
2014,1,1000483,81268
2014,1,1000484,167295
2014,1,1000485,178236
2014,1,1000486,198586
2014,1,1000487,209339
2014,1,1000488,262908
2014,1,1000489,173839
2014,1,1000490,77067
2014,1,1000491,103626
2014,1,1000492,180778
2014,1,1000493,242782
2014,1,1000494,188982
2014,1,1000495,118683
2014,1,1000496,149664
2014,1,1000497,415596
2014,1,1000498,123577
2014,1,1000499,301939
2014,1,1000500,279098
2014,1,1000501,492863
2014,1,1000502,256346
2014,1,1000503,138233
2014,1,1000504,238727
2014,1,1000505,151084
2014,1,1000506,260206
2014,1,1000507,124256
2014,1,1000508,257492
2014,1,1000509,145198
2014,1,1000510,300878
2014,1,1000511,198958
2014,1,1000512,176718
2014,1,1000513,276990
2014,1,1000514,87163
2014,1,1000515,308069
2014,1,1000516,257397
2014,1,1000517,28548
2014,1,1000518,80825
2014,1,1000519,363330
2014,1,1000520,255950
2014,1,1000521,432240
2014,1,1000522,620590
2014,1,1000523,103655
2014,1,1000524,25521
2014,1,1000525,199475
2014,1,1000526,115543
2014,1,1000527,111272
2014,1,1000528,119275
2014,1,1000529,299039
2014,1,1000530,112240
2014,1,1000531,194482
2014,1,1000532,320495
2014,1,1000533,316356
2014,1,1000534,407099
2014,1,1000535,90334
2014,1,1000536,204984
2014,1,1000537,241987
2014,1,1000538,183649
2014,1,1000539,196312
2014,1,1000540,132466
2014,1,1000541,511727
2014,1,1000542,174050
2014,1,1000543,464371
2014,1,1000544,144377
2014,1,1000545,252772
2014,1,1000546,190158
2014,1,1000547,520189
2014,1,1000548,234986
2014,1,1000549,305835
2014,1,1000550,121038
2014,1,1000551,282871
