year,quarter,district,resid_total,household_total,household_apt
2019,2,1001310,158,72,0
2019,2,1001309,78,51,0
2019,2,1001308,954,527,0
2019,2,1001307,368,197,0
2019,2,1001306,194,125,0
2019,2,1001305,59,19,0
2019,2,1001304,2013,950,0
2019,2,1001303,99,42,0
2019,2,1001302,452,222,0
2019,2,1001301,802,356,0
2019,2,1001300,928,679,0
2019,2,1001299,12,12,0
2019,2,1001298,1990,962,0
2019,2,1001297,572,307,80
2019,2,1001296,255,148,0
2019,2,1001295,1537,881,0
2019,2,1001294,335,181,1
2019,2,1001293,4,3,0
2019,2,1001292,45,28,0
2019,2,1001291,63,32,0
2019,2,1001290,99,53,5
2019,2,1001289,466,252,0
2019,2,1001288,32,19,0
2019,2,1001287,97,61,0
2019,2,1001286,285,158,81
2019,2,1001285,93,84,0
2019,2,1001284,1014,589,0
2019,2,1001283,829,413,0
2019,2,1001282,927,475,0
2019,2,1001281,1,1,0
2019,2,1001279,54,35,28
2019,2,1001277,289,214,0
2019,2,1001276,5,5,0
2019,2,1001275,143,83,0
2019,2,1001274,272,212,0
2019,2,1001273,79,62,0
2019,2,1001272,13,10,0
2019,2,1001271,781,602,63
2019,2,1001270,372,230,0
2019,2,1001269,63,36,0
2019,2,1001268,171,84,0
2019,2,1001267,110,89,0
2019,2,1001266,2,2,0
2019,2,1001265,61,47,0
2019,2,1001264,688,325,44
2019,2,1001263,258,213,0
2019,2,1001262,18,16,0
2019,2,1001261,690,280,278
2019,2,1001260,627,483,0
2019,2,1001259,730,510,0
2019,2,1001258,191,107,0
2019,2,1001257,2128,1424,0
2019,2,1001256,795,462,0
2019,2,1001255,112,97,0
2019,2,1001254,1059,619,0
2019,2,1001253,221,140,0
2019,2,1001252,452,259,0
2019,2,1001251,368,218,0
2019,2,1001250,775,552,173
2019,2,1001249,668,454,0
2019,2,1001248,537,337,0
2019,2,1001247,90,56,0
2019,2,1001246,914,417,239
2019,2,1001245,1091,758,0
2019,2,1001244,370,257,0
2019,2,1001243,371,265,0
2019,2,1001242,628,439,0
2019,2,1001241,804,537,0
2019,2,1001240,486,294,0
2019,2,1001239,1576,974,102
2019,2,1001238,2803,1361,697
2019,2,1001237,308,182,0
2019,2,1001236,280,151,0
2019,2,1001235,116,68,0
2019,2,1001234,582,304,0
2019,2,1001233,147,115,0
2019,2,1001232,2251,1971,0
2019,2,1001231,418,340,0
2019,2,1001230,769,491,150
2019,2,1001229,290,193,0
2019,2,1001228,715,501,0
2019,2,1001227,550,372,39
2019,2,1001226,2044,1222,0
2019,2,1001225,424,359,0
2019,2,1001224,306,267,0
2019,2,1001223,2467,1234,120
2019,2,1001222,873,346,250
2019,2,1001221,4026,2240,482
2019,2,1001220,584,442,0
2019,2,1001219,124,67,0
2019,2,1001218,27,23,0
2019,2,1001217,23,20,0
2019,2,1001216,193,175,0
2019,2,1001215,12,9,0
2019,2,1001214,3,3,0
2019,2,1001213,164,141,0
2019,2,1001212,1425,548,0
2019,2,1001211,32,30,0
2019,2,1001210,289,159,82
2019,2,1001209,73,52,0
2019,2,1001208,487,386,79
2019,2,1001207,286,202,0
2019,2,1001206,878,587,0
2019,2,1001205,433,322,0
2019,2,1001204,325,273,0
2019,2,1001203,139,102,0
2019,2,1001201,870,504,0
2019,2,1001200,250,221,0
2019,2,1001199,1434,761,158
2019,2,1001198,2167,1417,21
2019,2,1001197,1406,810,0
2019,2,1001196,360,161,0
2019,2,1001195,531,330,0
2019,2,1001194,107,84,0
2019,2,1001193,206,151,0
2019,2,1001192,773,528,0
2019,2,1001190,1232,1031,0
2019,2,1001189,1257,707,0
2019,2,1001188,298,196,92
2019,2,1001187,1037,870,0
2019,2,1001186,1753,1424,73
2019,2,1001185,2715,2069,62
2019,2,1001184,191,143,0
2019,2,1001183,504,259,0
2019,2,1001182,4775,3054,133
2019,2,1001181,1740,1098,0
2019,2,1001180,1175,898,0
2019,2,1001179,2954,1848,105
2019,2,1001178,657,395,0
2019,2,1001177,53,24,0
2019,2,1001176,10,7,0
2019,2,1001175,2715,886,423
2019,2,1001174,1292,737,403
2019,2,1001173,1999,975,0
2019,2,1001172,537,287,85
2019,2,1001171,22,15,0
2019,2,1001170,43,35,0
2019,2,1001169,487,309,0
2019,2,1001168,238,191,0
2019,2,1001167,599,238,0
2019,2,1001166,3534,1885,412
2019,2,1001165,2009,1455,0
2019,2,1001164,844,498,0
2019,2,1001163,4607,2962,399
2019,2,1001162,1027,619,0
2019,2,1001161,530,289,0
2019,2,1001160,1871,1258,0
2019,2,1001159,279,162,0
2019,2,1001158,723,562,0
2019,2,1001157,388,222,0
2019,2,1001156,3041,2190,0
2019,2,1001155,629,394,50
2019,2,1001154,346,175,0
2019,2,1001153,1061,700,113
2019,2,1001152,198,64,60
2019,2,1001151,249,129,72
2019,2,1001150,876,572,0
2019,2,1001149,157,110,0
2019,2,1001148,59,55,0
2019,2,1001147,178,66,0
2019,2,1001146,107,55,0
2019,2,1001145,1447,846,0
2019,2,1001144,721,582,0
2019,2,1001143,390,310,0
2019,2,1001142,145,128,0
2019,2,1001141,1313,668,245
2019,2,1001140,1865,974,0
2019,2,1001139,1287,901,0
2019,2,1001138,604,240,0
2019,2,1001137,800,384,11
2019,2,1001136,869,271,102
2019,2,1001135,3852,2157,0
2019,2,1001134,18,15,0
2019,2,1001133,922,622,0
2019,2,1001132,518,322,0
2019,2,1001131,1060,492,355
2019,2,1001130,213,74,0
2019,2,1001129,373,137,0
2019,2,1001128,255,147,0
